#,Task,Description,Status,Date,Estimated Hours
39,Global Script — Service Area SPA Fix,"Fixed service area widget not initializing on SPA navigation: inline scripts don't execute on DOM insertion, added code to extract and execute inputData from .w-html-embed script elements",Pending,3/7/2026,1
40,React Hydration Mismatch Diagnosis,"Identified 5 HtmlEmbed components with clientOnly={false} causing React error #418 hydration mismatches on services, service-areas, and 3 location pages — recommended changing to clientOnly={true}",Pending,3/7/2026,0.5
41,Core Page Schema Overhaul,"Updated 11 core page JSON-LD schemas (home, roofing, flat roofing, siding, windows, doors, gutters, exterior trim, decks, about, bowie location) with enriched structured data from DMV schema audit — brands, FAQPage, offerCatalogs, certifications, subOrganizations",Done,3/11/2026,3
42,Geo Page Schema Patch — All 385 Pages,"Wrote and ran patch-geo-schemas.ts to apply additive fixes to 385 geo page schemas in Strapi: added Bowie CID to sameAs, neighborhoods additionalProperty, BreadcrumbList, Atlas + MuleHide certs/awards/offers on roofing pages, MuleHide on flat roofing pages",Done,3/11/2026,4
43,Repo Cleanup — Gitignore & Size Reduction,"Untracked 569 generated/synced webstudio files from git (data.json, __generated__/, .react-router/, public/assets/) to reduce repo size ~190MB. Updated .gitignore for webstudio build artifacts, strapi scripts, spreadsheets",Done,3/11/2026,1
44,Domain Migration — v2 to improveitmd.com,"Promoted Webstudio from v2.improveitmd.com to improveitmd.com: updated Caddy routing (renamed server block, added www→bare redirect, updated 2 CORS origins), updated Webstudio build pipeline (docker-compose DOMAINS, optimize-assets.sh 3 URL patterns + new Step 6 v2 catch-all, 382 asset-mappings.json entries, post-sync.sh, deploy-trigger.html), updated Flask services (form_submission_app.py ALLOWED_DOMAINS, dashboard_app.py SERVICES/NAV/Mermaid, system-status.sh), updated Strapi admin allowedOrigins, form-api app/README/tests, migration scripts, all schema JSON/CSV files. Configured Cloudflare DNS (A/AAAA + www CNAME). 3 full Webstudio redeploys.",Done,3/11/2026,3
45,Deploy Page Auth Fix,"Fixed deploy page login redirect loop: changed action from returning data() to redirect() after successful password validation so loader re-runs with new cookie. Updated both route file and patch-deploy-page.cjs script for future deploys.",Done,3/11/2026,0.5
46,UTM Lead Source Tracking,"Frontend UTM capture (UtmStore/sessionStorage, SOURCE_MAP with 8 sources, captureUtmParams/getUtmData) replacing hardcoded lead_source in all 4 form handlers. Backend resolve_lead_source with URL fallback extraction, _SOURCE_MAP mirror, _FIELD_MAP expansion for lead fields. Ready-to-send HTML email in webhook payload (email_subject + email_html with color-coded source badges, contact info, attribution table). Ghost submission filter (skip n8n for no-contact submissions). Consolidated to single n8n webhook.",Done,3/12/2026,3
47,Safari Hero Video Fix,"Runtime fixVideoSourceTypes() in global.js: detects source type/extension mismatch (e.g. type=video/webm on .mp4 file) and corrects it so Safari can play. Also handles .mov and .ogg. Runs at script load before other init.",Done,3/12/2026,0.5
48,AggregateRating Schema — All Pages,"Added aggregateRating (5.0/445 reviews) to 28 core page schemas that were missing it. Updated 385 Strapi geo page schemas from reviewCount 422→445 via API patch. 3 location pages keep location-specific counts (Bowie:221, DC:67, Gaithersburg:157). Re-injected all 33 core page routes via inject-schemas.cjs --force. Full rebuild and deploy.",Done,3/12/2026,2
49,CRM Phase 1 — Architecture & Build,"Designed and built self-hosted CRM app (Flask + HTMX + Alpine.js + PostgreSQL). 10 SQLAlchemy models (Lead, Contact, Job, Pipeline, Stage, Task, Note, Appointment, Document, Payment). Dashboard with stat cards. Kanban board with Sortable.js drag-drop. Lead management with HTMX live search/filtering. Full CSS theme (dark industrial). Dockerized with gunicorn + PostgreSQL 16. Caddy routing at /crm with Authelia SSO. n8n webhook event system. Seeder with 5 pipelines, 25 stages, 11 lead sources. Pushed to github.com/osamarehman/capitol-crm.",Done,3/12/2026,6
50,CRM Phase 2 — Lead Intake API & Automations,"Hardened /crm/api/leads/create endpoint: duplicate detection (30-min window same contact+source), auto-assignment (round-robin among active sales reps), auto follow-up tasks (1hr call_back on creation, 2hr follow_up on contact_attempted). New endpoints: GET /leads/{id}, PATCH /leads/{id}/assign, GET/PATCH /tasks, GET /contacts/search, GET /sources, GET /health. Form context captured as notes. Wired form_submission_app.py to auto-create CRM leads on every website form submission. Added Authelia bypass for /crm/api/* routes.",Done,3/13/2026,3
51,CRM n8n Workflows — Event Router & Lead Intake,"Built and imported 3 n8n workflows: crm-event-router (11 nodes — webhook receives all CRM events, IF-chain routes by event type, HTTP Request nodes call /crm/api/leads/{id} for enrichment on lead.created, status_changed, job.stage_changed, job.created), lead-intake-gls (5 nodes — IMAP polls Gmail for Google LSA emails, regex parse name/phone/service, POST to CRM API), lead-intake-yelp (5 nodes — same pattern for Yelp lead emails). All workflows published in n8n.",Done,3/13/2026,2
,,TOTAL,,,99
